startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
88,3,10.308985993422082,1,3.3,1,1.0
90,2,16.118095750958314,1,8.0,1,1.0
91,1,18.57768450130904,4,14.0,3,1.0
92,3,13.527829818844937,1,5.4,1,1.0
94,0,14.220976332738882,2,3.1,2,4.0
95,2,14.322328762742183,1,14.3,2,1.0
98,3,11.918397239722838,1,14.7,1,1.0
99,1,17.529082649058825,5,7.0,4,1.0
100,2,17.208339723569356,1,8.3,1,1.0
101,0,14.02775897223648,3,3.0,1,4.0
102,2,14.845130332288226,2,7.3,2,3.0
103,2,14.196771084375616,1,11.0,1,2.0
104,2,15.667032787516746,1,2.6,2,1.0
105,2,15.434898999271326,1,2.0,1,3.0
108,2,18.420680753952364,2,5.2,1,2.0
109,1,16.525874812910793,6,17.0,3,1.0
110,0,12.429220196836383,1,5.0,1,9.0
111,2,14.292081326270841,2,9.3,1,1.0
112,3,13.329379172803593,1,5.9,2,1.0
113,1,18.533562016685288,6,8.8,6,2.0
114,3,10.819798284210286,1,3.6,1,2.0
121,3,12.899222326086994,1,7.4,1,2.0
123,2,16.588099342704055,1,5.0,2,1.0
124,3,10.819798284210286,1,5.0,1,1.0
127,2,15.201805169084134,1,14.0,1,2.0
128,3,12.206077645517674,1,3.0,1,1.0
130,2,14.508658238524095,1,11.0,1,1.0
132,3,11.678448377988165,1,2.4,1,3.0
134,0,15.581064988128082,1,7.0,1,4.0
138,1,14.914123179965662,3,12.0,3,4.0
139,2,15.76142084987672,2,2.7,3,2.0
140,2,15.730354098609434,1,7.0,1,1.0
143,3,12.855792879125431,2,4.5,1,1.0
145,2,18.92145603792546,1,6.0,1,1.0
147,3,12.429220196836383,1,3.1,1,2.0
149,3,12.524530013005734,1,7.0,1,1.0
151,2,13.78167348696829,2,3.7,3,1.0
152,2,18.258161826219297,1,16.9,1,1.0
153,1,17.443695320619454,4,5.0,2,3.0
155,0,10.968215530759236,1,3.0,1,10.0
156,3,8.699681400989514,1,1.3,1,2.0
160,0,12.611541086966115,2,10.7,2,7.0
161,1,18.378555828081943,6,7.0,6,2.0
162,3,11.289794413577894,1,2.9,1,3.0
167,1,18.173359772625794,4,7.8,3,1.0
168,0,10.12667110305036,1,1.8,1,7.0
170,3,13.122365377402328,1,1.9,1,1.0
171,2,14.637366207025018,1,2.5,2,2.0
173,1,17.060231930537658,5,7.3,5,2.0
175,2,16.694709071442087,1,17.0,2,1.0
176,0,15.424948670398354,1,15.0,1,5.0
177,2,13.815511557963774,2,10.0,2,2.0
178,2,15.850216336521664,1,7.0,1,1.0
179,3,14.249835842454736,1,5.0,1,2.0
180,0,15.226497775576945,2,7.5,1,7.0
183,2,16.588099342704055,1,3.0,2,4.0
187,3,11.198872038296177,2,3.1,1,3.0
188,2,14.605773559903458,1,9.0,1,1.0
189,0,15.717618233614914,2,7.0,3,5.0
191,2,14.269116095400372,2,16.0,2,1.0
192,3,10.12667110305036,1,1.0,1,1.0
193,3,14.303814461047976,1,2.0,1,1.0
194,2,14.285514812209815,1,5.0,1,1.0
196,2,14.35759295907156,2,3.4,2,3.0
197,0,11.225256725762893,1,2.0,1,8.0
198,3,11.802762713361059,1,7.0,1,1.0
199,0,13.122365377402328,2,4.5,2,5.0
200,2,15.562969942511762,2,10.0,3,2.0
201,3,14.19736648302693,1,5.0,1,1.0
202,3,10.239995502805316,1,1.8,1,1.0
206,3,13.12834743715147,2,4.0,1,1.0
207,0,15.319588176962746,2,1.8,2,4.0
208,0,13.997832948091215,2,4.0,2,6.0
210,0,12.388398368982115,2,2.0,2,5.0
211,1,17.370858648025116,3,6.0,3,2.0
212,2,13.721135041226308,3,5.0,1,1.0
213,2,18.948363490684486,3,29.0,2,1.0
214,3,11.918397239722838,1,6.0,1,1.0
216,3,12.899222326086994,1,5.9,1,1.0
217,2,14.038654909278163,1,17.7,1,1.0
221,0,14.797589404908198,2,3.8,2,6.0
224,2,13.503624586815365,1,14.0,1,2.0
227,2,14.540641268638653,2,8.6,3,2.0
229,0,13.527829818844937,1,5.2,1,5.0
231,0,14.346139397261565,2,5.3,2,7.0
232,2,16.811242881518265,1,12.0,2,1.0
233,2,13.522730177867112,2,9.5,2,1.0
234,2,16.433501177381387,3,8.2,2,1.0
235,2,15.201805169084134,1,10.0,2,2.0
237,1,17.989897843244528,3,10.6,4,1.0
238,3,14.220976332738882,1,4.5,1,3.0
242,1,17.070525468028595,4,8.4,3,1.0
243,2,13.827045770842027,3,8.0,2,1.0
247,2,14.220976332738882,2,4.6,3,3.0
249,2,14.14786791148303,1,10.0,1,1.0
250,0,15.424948670398354,2,7.1,2,6.0
251,3,12.873904582205107,3,4.0,2,1.0
252,2,14.508658238524095,1,7.0,1,1.0
255,2,16.53367708274274,1,8.0,1,1.0
256,3,13.815511557963774,1,1.4,1,1.0
257,2,16.52356082573315,3,16.0,2,1.0
258,3,12.513561021741964,1,12.0,1,1.0
259,2,17.05418904934434,1,11.0,2,4.0
260,1,17.85093978150451,6,13.0,7,1.0
261,2,15.037497921356529,2,7.2,2,2.0
264,3,6.90875477931522,1,1.5,1,2.0
265,1,14.619742837443907,5,5.8,4,1.0
267,2,15.647580050677776,2,18.0,3,1.0
268,3,11.302216779257382,1,1.0,1,2.0
269,0,13.864301674514206,3,6.9,1,7.0
270,2,13.527829818844937,1,5.0,2,1.0
271,1,17.454794512463224,4,11.0,4,1.0
272,3,13.592368256649284,2,2.0,1,1.0
273,2,13.815511557963774,1,11.0,1,1.0
274,1,16.67198082165602,4,4.0,4,2.0
279,1,17.451964498024438,3,4.0,3,1.0
281,2,13.017005083966255,1,23.7,1,2.0
285,3,9.94755228369823,1,10.0,1,1.0
287,2,15.033083262978097,1,10.0,1,1.0
289,1,16.057958628995753,6,9.0,5,6.0
290,1,18.068111659424876,8,11.0,5,7.0
291,3,13.815511557963774,1,2.8,1,2.0
293,2,17.909855136853043,4,10.0,1,1.0
294,2,16.118095750958314,1,3.8,2,1.0
295,3,10.819798284210286,1,3.0,1,4.0
296,2,15.76142084987672,1,4.0,1,1.0
297,2,13.929804848353172,4,4.8,1,2.0
299,3,13.544359098938253,1,1.4,1,1.0
300,3,12.863543424437559,1,3.0,1,1.0
301,3,12.429220196836383,1,11.0,1,1.0
304,3,12.994532278619134,2,3.0,1,1.0
305,3,11.289794413577894,2,1.2,2,1.0
306,3,12.100717685412471,1,1.4,1,2.0
311,1,16.372737946851277,6,5.0,5,4.0
313,0,16.048209630732753,2,5.3,3,5.0
317,1,17.11134746100564,3,10.0,3,1.0
318,2,14.889918264935561,1,6.0,1,1.0
319,2,16.04552506565036,3,12.2,2,1.0
320,3,12.873065771112861,1,3.0,1,1.0
324,2,16.811242881518265,2,9.0,2,3.0
327,1,17.99143512253978,4,4.0,4,1.0
328,2,14.220976332738882,2,7.4,2,1.0
332,2,14.914123179965662,1,3.5,1,1.0
333,2,19.11382792951231,2,4.8,2,1.0
334,2,17.216707972959764,2,9.8,3,1.0
335,1,20.591766664819428,6,10.0,6,3.0
337,0,15.444751293772967,1,4.0,1,4.0
338,2,15.623799493077952,2,7.0,1,3.0
340,3,12.817876898496896,1,7.1,1,3.0
343,1,16.36495580701484,3,8.0,4,3.0
344,3,9.672437829650821,1,3.8,1,4.0
346,3,10.819798284210286,1,9.0,1,1.0
347,2,15.198723676929383,2,1.5,1,1.0
349,3,12.429220196836383,1,2.5,1,4.0
350,2,15.76142084987672,1,7.0,2,1.0
351,0,14.914123179965662,1,6.0,1,4.0
352,1,16.656327918072208,4,6.0,2,3.0
353,0,14.077875591662238,3,5.6,3,5.0
354,3,11.51293546492023,1,4.3,1,3.0
355,2,14.930652476452392,3,2.0,2,1.0
358,2,14.508658238524095,1,6.0,2,1.0
359,1,17.044336753289603,5,7.0,4,1.0
361,2,13.815511557963774,2,1.6,2,1.0
364,2,16.300417291085605,2,2.0,2,1.0
367,2,15.717618233614914,2,11.0,2,1.0
369,2,17.778016180269734,2,6.6,1,1.0
370,0,16.98761971201879,5,4.3,3,17.0
371,1,15.691749493265636,3,9.0,3,3.0
374,2,14.29361565650614,1,18.0,1,1.0
377,1,14.711598990684092,5,3.8,2,5.0
378,3,12.154968806878962,1,3.0,1,3.0
379,2,14.94923223524593,1,3.6,2,1.0
381,3,13.384729180332174,1,4.6,1,1.0
383,3,14.220976332738882,1,2.8,1,1.0
384,1,16.22335625162481,5,6.0,3,1.0
385,3,10.769894522480744,1,4.0,1,1.0
386,1,16.816230422780546,4,11.0,3,1.0
388,2,13.943507036171539,1,12.0,1,1.0
389,3,13.040667303674102,2,2.0,1,1.0
390,2,15.199239631545849,3,7.0,2,1.0
391,1,16.10298211467111,4,9.0,3,1.0
392,0,13.304686600863562,2,5.8,1,5.0
393,3,12.503436448408822,2,1.8,1,1.0
394,1,16.733281344102608,3,2.6,3,4.0
397,2,17.341871111992198,3,10.5,2,3.0
398,3,11.51293546492023,1,3.0,2,1.0
401,2,15.444751293772967,1,4.0,1,1.0
402,2,17.11134746100564,2,3.0,3,3.0
407,3,11.849404844423074,2,1.9,1,2.0
411,3,12.206077645517674,1,0.8,1,3.0
414,3,11.28353745755869,2,0.9,2,2.0
416,1,16.56214030517764,3,6.2,4,2.0
417,2,14.83795465111109,2,6.4,2,1.0
418,2,17.018257041552996,1,4.0,1,1.0
419,3,11.918397239722838,1,3.6,1,1.0
420,2,17.23679578768121,1,28.0,1,2.0
421,2,15.319588176962746,2,2.0,1,1.0
422,1,16.68907525404123,3,3.0,4,1.0
423,0,16.98519618065851,2,4.0,1,5.0
424,0,11.51293546492023,1,1.5,1,6.0
427,2,17.216707972959764,1,4.3,1,1.0
433,2,13.815511557963774,1,5.0,2,1.0
434,3,14.138101899174279,1,3.3,1,1.0
436,1,18.21702447610105,4,10.0,3,2.0
438,2,17.370858648025116,1,6.9,2,4.0
439,3,11.567905953295691,2,5.0,1,2.0
442,3,9.90353755128617,1,2.8,1,2.0
443,2,15.84046397036004,1,6.0,1,1.0
444,3,12.25486757159303,3,3.9,2,1.0
446,3,11.289794413577894,2,5.1,1,3.0
448,2,16.077273760604726,2,9.8,2,1.0
449,3,11.156264806643742,1,3.7,1,2.0
451,2,14.174618938692594,3,3.3,2,1.0
452,2,14.845130332288226,2,7.0,1,1.0
453,0,15.226497775576945,2,4.0,2,4.0
454,3,13.710151153416941,1,2.0,1,2.0
455,2,16.118095750958314,2,16.0,1,2.0
456,0,13.73755009757506,2,4.6,2,6.0
457,3,12.984022724518578,1,13.0,1,1.0
461,0,15.068273812173887,1,3.7,1,5.0
462,3,13.017005083966255,1,2.0,1,1.0
466,2,16.148828908887776,2,5.3,2,2.0
469,3,13.122365377402328,1,7.0,1,1.0
472,2,15.83705825367553,2,9.6,3,1.0
474,2,15.673369984903081,1,14.8,2,1.0
476,3,9.61587214452889,1,3.8,1,4.0
482,0,10.67218273933141,1,1.2,1,6.0
486,2,16.13789837629371,1,12.0,1,1.0
491,2,16.118095750958314,1,31.0,1,1.0
494,0,9.90353755128617,1,2.1,1,9.0
495,1,18.586195190904515,4,10.3,5,10.0
496,1,20.035822361291768,8,14.0,7,3.0
500,2,17.72753358339242,2,15.0,3,1.0
503,2,16.811242881518265,1,36.0,1,1.0
504,3,12.765691290604371,1,14.6,1,2.0
505,3,13.122365377402328,1,7.0,1,1.0
506,2,15.607270193858982,2,7.5,3,1.0
509,2,16.811242881518265,1,9.0,1,1.0
510,2,17.50439003707821,1,26.0,1,1.0
511,3,11.925187422078665,2,4.6,1,1.0
512,2,15.26477995298731,1,6.0,1,1.0
517,0,14.161108882024408,1,4.0,1,4.0
519,2,15.026467714816654,1,8.0,1,1.0
521,3,13.122365377402328,1,14.7,1,1.0
522,2,15.04202224262927,1,38.0,1,1.0
523,2,15.068273812173887,1,2.0,1,2.0
525,1,15.253218306260287,6,9.0,3,1.0
526,3,13.623139877437296,1,2.0,1,3.0
528,3,12.901689274491012,3,4.0,2,1.0
529,2,14.386490669521603,1,14.0,2,1.0
530,2,15.328437790281823,1,16.0,2,1.0
531,2,15.29711532616119,2,18.0,2,1.0
532,2,14.80876270134486,1,27.0,1,4.0
534,2,15.026046676544373,1,6.0,1,3.0
535,1,13.681980308196241,5,2.4,2,3.0
536,2,15.730961646810274,2,24.0,1,4.0
537,3,12.834683971615659,1,11.0,1,1.0
538,3,10.12667110305036,1,7.1,1,1.0
539,2,18.182419163955522,2,17.0,2,2.0
540,3,11.898194668458823,1,4.4,1,3.0
541,2,14.508658238524095,1,5.0,2,1.0
542,2,13.59972611188891,1,14.0,1,1.0
544,1,16.76770888171931,5,5.3,4,1.0
545,3,11.407576060361786,1,1.4,1,1.0
548,2,15.285686632949897,2,2.0,2,1.0
550,2,17.494592194844248,3,14.6,2,1.0
551,2,14.626521215389566,1,4.0,1,1.0
552,3,11.002116507732017,1,5.0,1,1.0
553,2,14.220976332738882,1,6.0,1,1.0
554,1,20.18369774603003,4,15.0,3,1.0
555,0,16.012735246411598,2,7.0,3,11.0
557,2,15.682266794726583,1,7.0,2,2.0
558,2,15.912370268730937,2,7.0,1,1.0
560,2,15.198389844348963,1,5.0,2,3.0
561,1,17.056554875926444,8,9.0,6,6.0
562,2,16.463862982596172,4,5.0,1,3.0
563,0,13.122365377402328,1,16.4,1,5.0
566,3,11.918397239722838,1,5.3,1,1.0
567,1,17.07093344804929,5,4.0,5,1.0
570,1,16.30087118802097,5,10.0,2,1.0
571,2,14.05688766308519,1,8.0,1,1.0
572,2,16.300417291085605,1,6.0,2,1.0
573,0,14.914123179965662,1,6.4,2,5.0
574,2,18.40382967890763,3,14.0,1,1.0
575,2,13.815511557963774,1,36.0,1,1.0
576,1,14.282384921160133,3,4.0,3,2.0
578,2,20.04992128564343,2,8.0,2,2.0
579,1,16.65385781853665,3,1.9,3,3.0
581,1,15.23606334040763,5,4.6,4,3.0
583,2,15.84605724249456,3,9.0,2,1.0
584,2,14.557448378884015,1,13.0,1,1.0
585,2,14.731801689838349,1,15.6,2,2.0
586,3,13.017005083966255,1,6.5,1,1.0
